locationid,study_county,latitude,longitude,ctadi_score,refined_need_percentile,trial_access_disadvantage_percentile,weighted_avg_miles_reduced,weighted_distance_reduction,target_tracts_improved,target_tracts_within_5mi_after,target_tracts_within_10mi_after,modeled_depression_burden_within_5mi_after,modeled_depression_burden_within_10mi_after,critical_deserts_within_5mi_after,critical_deserts_within_10mi_after,optimization_rank
34013009900,"Essex County, NJ",40.7823152,-74.2182406,57.54256375638295,34.743801652892564,95.30179445350734,5.043616775127973,154136.09607759377,61,38,59,21180.591,32741.39,6,8,101
34013005000,"Essex County, NJ",40.7149833,-74.1977885,75.76252611242117,65.71900826446281,87.34094616639479,5.040109966234627,154028.92579551047,46,46,50,25891.944999999996,28353.621,6,6,102
34013011400,"Essex County, NJ",40.7558759,-74.2308702,60.08953453380768,38.14876033057851,94.64926590538336,5.0348496824008215,153868.16821805114,58,45,50,25250.504999999997,28353.621,6,6,103
34013005300,"Essex County, NJ",40.7192041,-74.2091284,64.65479414758377,47.47107438016529,88.05872756933117,5.026383592036405,153609.43917974544,46,46,50,25891.944999999996,28353.621,6,6,104
34013013000,"Essex County, NJ",40.7302398,-74.2210452,68.1335515548558,52.09917355371901,89.10277324632952,5.01788254614641,153349.64187862576,48,46,50,25891.944999999996,28353.621,6,6,105
34013014500,"Essex County, NJ",40.7873906,-74.1611661,74.1805198014862,62.909090909090914,87.47145187601959,5.001553210230796,152850.60711809748,61,38,62,20948.189,34035.596,5,8,106
34013002000,"Essex County, NJ",40.7486312,-74.2319149,90.37221866992515,87.00826446280992,93.86623164763458,4.981567928427002,152239.84435526462,58,45,50,25250.504999999997,28353.621,6,6,107
34013005200,"Essex County, NJ",40.7191637,-74.2131884,74.43133384987095,62.84297520661157,88.15660685154975,4.9583108982585555,151529.0949077251,46,46,50,25891.944999999996,28353.621,6,6,108
34017012800,"Hudson County, NJ",40.7537092,-74.1428351,73.77694235862334,67.10743801652893,81.10929853181077,4.950323136590556,151284.98389477597,61,43,52,23617.733999999997,29372.277000000002,5,7,109
34013007200,"Essex County, NJ",40.7240163,-74.1537615,84.9547324584079,87.50413223140497,82.47960848287113,4.947503429931983,151198.81188849275,48,40,50,21784.405,28353.621,3,6,110
34013018300,"Essex County, NJ",40.7748448,-74.2300527,88.68645842516696,81.71900826446281,96.24796084828712,4.945456499649882,151136.256413584,61,40,55,22173.448,30579.142,6,8,111
34013012500,"Essex County, NJ",40.733558,-74.2267165,60.47059059904047,40.85950413223141,89.49429037520392,4.942592014280239,151048.7159417691,51,46,50,25891.944999999996,28353.621,6,6,112
34013005100,"Essex County, NJ",40.714564,-74.2068234,68.22266412086152,53.090909090909086,87.66721044045677,4.935322451036665,150826.5535237045,46,46,50,25891.944999999996,28353.621,6,6,113
34013007100,"Essex County, NJ",40.720505,-74.1564595,87.14493337689568,92.16528925619835,82.39804241435563,4.927123687209232,150575.9941522521,46,41,50,22500.039999999997,28353.621,4,6,114
34013018200,"Essex County, NJ",40.7787717,-74.228222,91.06250735720616,86.21487603305785,96.18270799347471,4.919777405222929,150351.48716122974,61,38,55,20975.308,30579.142,6,8,115
34013018700,"Essex County, NJ",40.7633953,-74.2353303,93.84703073276022,92.099173553719,95.62805872756933,4.9132947189283955,150153.37219689254,59,42,52,23307.623,29372.277000000002,6,7,116
34013007300,"Essex County, NJ",40.7274681,-74.1500122,89.25062029706089,96.82644628099175,82.26753670473084,4.91076346481139,150076.01548143,50,40,50,21784.405,28353.621,3,6,117
34013018100,"Essex County, NJ",40.7840636,-74.2237223,67.18570191482294,47.074380165289256,95.88907014681892,4.8972033052246395,149661.60848857558,61,34,59,18947.16,32741.39,6,8,118
34017012600,"Hudson County, NJ",40.7709484,-74.1427474,62.74874274439114,48.33057851239669,81.46818923327895,4.892192814528354,149508.48474627084,61,40,55,22059.472999999998,30579.142,5,8,119
34013018600,"Essex County, NJ",40.7700126,-74.234578,95.0890440977111,93.78512396694215,96.4110929853181,4.887437669863514,149363.16453904635,60,40,53,22173.448,29651.167,6,7,120
34013002300,"Essex County, NJ",40.7386751,-74.2321692,51.35121884023978,28.52892561983471,92.43066884176183,4.880056535405438,149137.59243459898,53,46,50,25891.944999999996,28353.621,6,6,121
34013013100,"Essex County, NJ",40.7223296,-74.2211666,75.5656276085673,64.46280991735537,88.58075040783035,4.873849649337566,148947.90609839314,46,46,50,25891.944999999996,28353.621,6,6,122
34013004801,"Essex County, NJ",40.710854,-74.2020184,76.08576379631887,66.3801652892562,87.21044045676999,4.8722360569440495,148898.593701499,46,45,50,25258.363999999998,28353.621,6,6,123
34013002100,"Essex County, NJ",40.7432015,-74.2346173,75.94966994935518,61.81818181818181,93.3115823817292,4.8634190835052395,148629.1414560826,54,45,50,25250.504999999997,28353.621,6,6,124
34013004300,"Essex County, NJ",40.7186439,-74.2182831,74.75446981835218,63.272727272727266,88.31973898858075,4.851380644746995,148261.2392073996,46,45,50,25258.363999999998,28353.621,6,6,125
34013014600,"Essex County, NJ",40.7920348,-74.1589486,59.37895093564816,40.82644628099173,86.36215334420882,4.848694558421924,148179.15072242278,61,34,62,19122.864,34035.596,5,8,126
34013011900,"Essex County, NJ",40.7272226,-74.228207,65.67668732432443,48.46280991735537,89.00489396411093,4.806951993831584,146903.47173389405,46,46,50,25891.944999999996,28353.621,6,6,127
34013015400,"Essex County, NJ",40.8004234,-74.1951196,79.0280842322582,66.51239669421489,93.89885807504078,4.785822274012559,146257.73422659995,61,25,63,14214.46,34767.236,5,8,128
34013004400,"Essex County, NJ",40.714256,-74.2167472,68.73550652287386,53.752066115702476,87.89559543230017,4.7685953977576325,145731.27006964013,46,44,50,24633.883999999995,28353.621,6,6,129
34013004900,"Essex County, NJ",40.7092563,-74.2070889,83.73583443214542,80.4297520661157,87.17781402936379,4.767074674686827,145684.79581757067,46,44,50,24633.883999999995,28353.621,6,6,130
34013014000,"Essex County, NJ",40.8007967,-74.1734983,33.68224582306587,12.429752066115702,91.27243066884176,4.75650400075082,145361.7493836227,60,23,63,13712.232,34767.236,5,8,131
34013015300,"Essex County, NJ",40.8021653,-74.1818755,50.0908804263693,27.107438016528924,92.56117455138663,4.749330546515524,145142.52411720823,60,21,63,12978.481,34767.236,5,8,132
34013012900,"Essex County, NJ",40.7225101,-74.2270789,73.97570036256474,61.6198347107438,88.80913539967374,4.7475593204709545,145088.39433694276,46,45,50,25258.363999999998,28353.621,6,6,133
34017012400,"Hudson County, NJ",40.7816643,-74.1419758,39.46530305472243,19.669421487603305,79.18433931484502,4.72552026487075,144414.86695710602,61,35,61,19369.327999999998,33668.998999999996,4,8,134
34013012300,"Essex County, NJ",40.7319697,-74.2346379,78.63506019721446,68.89256198347108,89.75530179445352,4.72235815107714,144318.2307737418,48,45,50,25258.363999999998,28353.621,6,6,135
34013014100,"Essex County, NJ",40.8002652,-74.1661727,41.49331218866176,19.537190082644628,88.12398042414355,4.711550674987448,143987.94751726364,60,24,63,14089.742999999999,34767.236,5,8,136
34013017700,"Essex County, NJ",40.7859149,-74.2307107,80.30690863162998,66.64462809917356,96.7699836867863,4.695717171310065,143504.06570132214,61,30,59,16910.989999999998,32741.39,6,8,137
34013018800,"Essex County, NJ",40.7579267,-74.2428385,61.66980649473693,39.93388429752066,95.23654159869494,4.6839792325669345,143145.34692181728,57,42,50,23307.623,28353.621,6,6,138
34013017200,"Essex County, NJ",40.7956148,-74.2198092,24.870635867228405,6.446280991735537,95.95432300163132,4.659126873926041,142385.8432342814,61,27,62,15408.499,34035.596,6,8,139
34013004600,"Essex County, NJ",40.7098469,-74.2157763,85.98913313916722,84.59504132231405,87.40619902120717,4.657552649378553,142337.73394348516,46,43,50,24194.863999999998,28353.621,6,6,140
34013002202,"Essex County, NJ",40.7357252,-74.2400533,70.60719757846736,53.91735537190082,92.46329526916803,4.630828355568121,141521.02274157866,50,45,50,25258.363999999998,28353.621,6,6,141
34013015200,"Essex County, NJ",40.8064332,-74.1879502,72.19197932492774,55.73553719008264,93.5073409461664,4.618512327407722,141144.63718643755,60,19,63,11735.301000000001,34767.236,5,8,142
